trnName
Puerto Vallarta College Challenge
ACC/Big Ten Challenge
Baylor Tournament
East Carolina Tournament
Liberty Tournament
Capital City Classic
DH
Big Ten Tournament
Postseason NISC
FIU Tournament
THE Spring Games
Chanticleer Showdown
Queen City Classic
Mizuno Classic
Texas Classic
Eagle Round Robin
Sun Devil Classic
Panther Invitational
Trojan Classic
Houston Classic
Amy S. Harrison Classic
Carolina Classic
Stetson Invitational
PA
Texas Invitational
Aquafina Invitational
Mardi Gras Classic
Missouri Tournament
Highlander Classic
Maryland Invitational
Coastal Carolina Kickin' Chicken Classic
"FAU ""Strike-Out Cancer"" Tournament"
Mary Nutter Classic
ESPN Citrus Classic
JMU Invitational
UMD/GW Capital Invite
Florida International Tournament
Florida Atlantic Tournament
Cathedral City Classic
Citrus Classic
Mary Nutter Collegiate Classic
ESPN's Citrus Classic
Maryland Miken Invitational
USF Under Armour Invitational
ACC Tournament
University of South Florida Tournament
Crimson Classic
Red and Black Challenge
Florida State Invitational
USF Best Western-All Suites Hotels Tournament
Golden Panthers adidas Tournament
Georgia Softball Classic
FSU Invitational
Terrapin Invitational
ACC Championship
Univ. of Georgia Tournament
USF-Best Western Tournament
Speedline Invitational
Buzz Classic
Bama Bash
Seminole Classic
USF-Holiday Inn Tournament
George Mason Spring Clash
UNC Tournament
Florida Atlantic Invitational
Lady Seminole Invitational
ACC/SASA Game
Triangle Classic Tournament
Speedline Invitational Tournament
Louisville Slugger Tournament
Arizona State Coca-Cola Classic
Georgia Tech / Buzz Classic
NCAA Regional
Triangle Classic
Winthrop Tournament
ECAC Championships
UNC Wilmington Tournament
Tar Heel Invitational
TCNJ

